label,youtube_id,time_start,time_end,split
bench pressing,GX4j5ZBa3XI,0,10,train
bench pressing,G6ZqPcBMoNQ,27,37,train
bench pressing,SQpSwQukNFE,0,10,train
bench pressing,F1PINH5GfrE,462,472,train
bench pressing,bbSS5ifEDUE,10,20,train
bench pressing,LSZVUPkSswo,8,18,train
bench pressing,xzMtuUxwKSs,5,15,train
bench pressing,8HzJm-Mv7x0,4,14,train
bench pressing,ayf46kiTMe8,0,10,train
bench pressing,anqK2f6p-bs,0,10,train
bench pressing,DRAA-BEAJjM,7,17,train
bench pressing,8PC4dSJ1KLg,0,10,train
bench pressing,0Zz7VCtfJoE,75,85,train
bench pressing,LbzhdjNHEDs,35,45,train
bench pressing,2pWcMEiN-aI,44,54,train
bench pressing,yGR_4ut5Lws,8,18,train
bench pressing,3UDnn4PLdDQ,0,10,train
bench pressing,pdyJzWHxwHw,88,98,train
bench pressing,DeNvXf5GJZI,5,15,train
bench pressing,rMfw15I6wxc,17,27,train
bench pressing,1bFWbJLYvvs,3,13,train
bench pressing,O9ZxgxxsfCA,10,20,train
bench pressing,HytyY6-U2Cs,62,72,train
bench pressing,kwBkuCbKUqA,0,10,train
bench pressing,BinFyLc61L0,11,21,train
bench pressing,DJSzNNe6W3M,0,10,train
bench pressing,XHE2Mn9S9JQ,0,10,train
bench pressing,wEM1bGgdvwo,13,23,train
bench pressing,wMZsL-QlDM0,101,111,train
bench pressing,U94jWeKh6lw,8,18,train
bench pressing,ydEzgNGyxIk,3,13,train
bench pressing,VIe4PpkAm6A,7,17,train
bench pressing,Jc3AVngTuQo,4,14,train
bench pressing,Lrr5h_K-No4,20,30,train
bench pressing,iqRzlNzzBVM,7,17,train
bench pressing,uB7iwRm_LdI,0,10,train
bench pressing,sBxkQQaeihg,5,15,train
bench pressing,UjNF-vOBaic,28,38,train
bench pressing,Qzhs-tXILG8,160,170,train
bench pressing,XxbNBmrpXzM,2,12,train
bench pressing,zsvn5qHdj3I,6,16,train
bench pressing,0QA5xS5Zyz0,2,12,train
bench pressing,sdpSWBBXrUk,27,37,train
bench pressing,g57EvZXAmAw,4,14,train
bench pressing,Ksc1t5IkBZo,1,11,train
bench pressing,NPW8e650s4w,7,17,train
bench pressing,Z5JFycVr600,47,57,train
bench pressing,fCXpnU2_rno,10,20,train
bench pressing,U5od0AJ7jmY,23,33,train
bench pressing,Oqf7lpAMP0s,0,10,train
bench pressing,czTI9bA6vCU,4,14,train
bench pressing,gxWwl_GSe8A,2,12,train
bench pressing,n4Cq7HQ0CN0,1,11,train
bench pressing,F7T7slpvpCg,8,18,train
bench pressing,IzfX3WXHZRc,0,10,train
bench pressing,GBKkhCC_RB0,36,46,train
bench pressing,eYbg_6t52IU,29,39,train
bench pressing,RANIF8umZiI,16,26,train
bench pressing,jy_pQEiOfaQ,5,15,train
bench pressing,PJzFz19Ydxw,15,25,train
bench pressing,T0NBMgnpNBM,39,49,train
bench pressing,MKP9YFUQ4gU,15,25,train
bench pressing,F7M6wgPA8Ps,4,14,train
bench pressing,kAMdxi3-yy4,1,11,train
bench pressing,ZXD9fS9JFP0,15,25,train
bench pressing,tLJupJ_yGxc,19,29,train
bench pressing,3k-2KhH7uiQ,0,10,train
bench pressing,TTRejBudnT0,6,16,train
bench pressing,aD6wk-yyd3w,0,10,train
bench pressing,vXM8n9Kskw0,59,69,train
bench pressing,Bznz6mCYdDk,3,13,train
bench pressing,rnUqMd715ew,2,12,train
bench pressing,1QTHI2zy5Co,3,13,train
bench pressing,-vtKTge4DaQ,15,25,train
bench pressing,3oUcDbz6g7g,2,12,train
bench pressing,tyAoQlyftOw,18,28,train
bench pressing,wKML8auaXbM,0,10,train
bench pressing,yZGPex9xoDA,1,11,train
bench pressing,CQbDLpiU0Oo,6,16,train
bench pressing,hh07FAbHKdw,72,82,train
bench pressing,IAKCbJw_C24,20,30,train
bench pressing,wBX7eQlB8Y4,16,26,train
bench pressing,nR3DnqMQo5o,21,31,train
bench pressing,ujlIhsqKMI0,13,23,train
bench pressing,Qt8o771aNl4,23,33,train
bench pressing,7k-HWpJ1DBg,17,27,train
bench pressing,w_De5KULgmg,1,11,train
bench pressing,LS7awUrzytk,52,62,train
bench pressing,gtfY2jotzkY,89,99,train
bench pressing,gWszV_R2qsk,3,13,train
bench pressing,w7m_LsOMrF4,22,32,train
bench pressing,Y82D9Rk-4WQ,7,17,train
bench pressing,UhSYJl_EC9c,6,16,train
bench pressing,0gAqV7aUnsA,7,17,train
bench pressing,BAqmxTVqXj0,18,28,train
bench pressing,PQv7j45-sdA,23,33,train
bench pressing,csckZDPmSHg,23,33,train
bench pressing,LlhMJGUP2W8,0,10,train
bench pressing,Llhoe4AdcdI,24,34,train
bench pressing,bMLnv6iRelQ,0,10,train
bench pressing,E_eY6ijQQRI,4,14,train
bench pressing,y9OaEUN11oY,474,484,train
bench pressing,4QilZaMYT_s,324,334,train
bench pressing,Ss7rqrjXGJo,11,21,train
bench pressing,p4gywzGWwIw,37,47,train
bench pressing,SnXlfdcTpR8,4,14,train
bench pressing,F56MNeSubws,3,13,train
bench pressing,-jwA4UOiFyE,8,18,train
bench pressing,25C19ax0scs,198,208,train
bench pressing,XenRdjBTfUs,41,51,train
bench pressing,UtMaHq2r1zU,1,11,train
bench pressing,roGggIoVwxk,2,12,train
bench pressing,ZoN8F_bdCkw,4,14,train
bench pressing,Yo_cXspsk4o,32,42,train
bench pressing,8lKplAF67Kk,55,65,train
bench pressing,E2KvbSBWzO4,14,24,train
bench pressing,pfKPxYxtHBk,0,10,train
bench pressing,eVShyf30r1E,10,20,train
bench pressing,VkUtBllG9PM,6,16,train
bench pressing,B-iwdRdgHxY,23,33,train
bench pressing,WJkons9zDt8,1,11,train
bench pressing,Sgcl4Tw-oL8,3,13,train
bench pressing,ZFr6Lf_Q3I8,46,56,train
bench pressing,IM7VK25uef4,0,10,train
bench pressing,oiAebBnUF5k,49,59,train
bench pressing,fhRXTbfXasM,8,18,train
bench pressing,MrWeRYc55hA,4,14,train
bench pressing,peSHL-gTX5w,25,35,train
bench pressing,zTse7flKn3A,20,30,train
bench pressing,Sa9w8xclGW4,103,113,train
bench pressing,nVeQ4DftZnk,1,11,train
bench pressing,60ec-oicWyE,38,48,train
bench pressing,kNeQ6V9irnQ,1,11,train
bench pressing,E9KZOVuBRfA,35,45,train
bench pressing,_j-FyEoQ0jg,182,192,train
bench pressing,xSA9iYL25CE,1,11,train
bench pressing,f1CjrpVIAUk,101,111,train
bench pressing,8S9fDWDat1g,4,14,train
bench pressing,xvv1uOZuCdA,4,14,train
bench pressing,1UhKzKNXYqo,7,17,train
bench pressing,i3486Y1Fvyo,22,32,train
bench pressing,RlZRzdhmF_E,4,14,train
bench pressing,m6XGCVThTuQ,32,42,train
bench pressing,8YfVID19H5w,17,27,train
bench pressing,5dZOraotyEg,7,17,train
bench pressing,s2_7vEtkr4k,10,20,train
bench pressing,t99HGh595PA,13,23,train
bench pressing,AhyoWqf88AA,9,19,train
bench pressing,J3APbHKBFn4,0,10,train
bench pressing,wCxjDJ1JMPc,33,43,train
bench pressing,tiRvQoNpP3Q,17,27,train
bench pressing,oeDMVynjm_8,113,123,train
bench pressing,FCc-qnF2EfM,10,20,train
bench pressing,CA6QHVSOBy8,9,19,train
bench pressing,tE797XgqZs4,13,23,train
bench pressing,ZW04XJ6aM1M,2,12,train
bench pressing,JkoXyKdNuU4,4,14,train
bench pressing,pKyKd2nRXYA,1,11,train
bench pressing,sEI487pBEdg,7,17,train
bench pressing,xvfG9kyyeYI,13,23,train
bench pressing,sezlFz2_dTQ,4,14,train
bench pressing,12vWZg5BdG4,4,14,train
bench pressing,wqD88kwNrGA,22,32,train
bench pressing,Pq9SedgzW-s,21,31,train
bench pressing,NcAlKN7HW5k,7,17,train
bench pressing,CBRBusAxU-w,2,12,train
bench pressing,5eHsO4sFIEA,361,371,train
bench pressing,WtQQ0EvaKuo,14,24,train
bench pressing,sQ30leirmzw,6,16,train
bench pressing,F9LGslu3Cck,89,99,train
bench pressing,MPwhE9djiq8,0,10,train
bench pressing,uRcP9mxMSis,12,22,train
bench pressing,jknmTC0xHlM,34,44,train
bench pressing,ImdaV2c40MI,2,12,train
bench pressing,PD9yIeXElJE,23,33,train
bench pressing,B-4D89h_8os,16,26,train
bench pressing,xT46IOQPCuQ,13,23,train
bench pressing,ThMudW-87-k,2,12,train
bench pressing,OtpZtyriM8w,3,13,train
bench pressing,U0z2NCWoViA,0,10,train
bench pressing,WDwNJ8Edkfo,4,14,train
bench pressing,c8HWGiyH00o,55,65,train
bench pressing,mYw0_y4FzFc,76,86,train
bench pressing,eDZgFPNRlII,44,54,train
bench pressing,Y32yFYRmNVU,15,25,train
bench pressing,UrRfvF19DxA,4,14,train
bench pressing,5kz4tgU7UUU,19,29,train
bench pressing,ipG6qRX2Qno,28,38,train
bench pressing,lZgcMU0S7Kw,27,37,train
bench pressing,f_-lwtYZmrk,21,31,train
bench pressing,CtMvrMzFme4,10,20,train
bench pressing,WZAi9blloSg,12,22,train
bench pressing,1iqSev_QCKc,8,18,train
bench pressing,84F5nw3TEDk,2,12,train
bench pressing,6KGWfMMrEpA,31,41,train
bench pressing,nJWXrtkTSLk,0,10,train
bench pressing,V3CU2If0JaA,62,72,train
bench pressing,hUjDGOhSWkc,16,26,train
bench pressing,c8dm8EhPlCU,1,11,train
bench pressing,epqJH5Uow30,29,39,train
bench pressing,lSMbpEkXmDk,94,104,train
bench pressing,l7onb0pRQmI,0,10,train
bench pressing,9bW0y4GxeOw,60,70,train
bench pressing,DiiAjEcHLg4,2,12,train
bench pressing,qCVpYAC5tlE,215,225,train
bench pressing,c7nQcrmlLck,1,11,train
bench pressing,foCvfVO08FY,0,10,train
bench pressing,tez2VluPKaE,6,16,train
bench pressing,g9r9VLmT2ZA,12,22,train
bench pressing,TekxZpmmgpI,58,68,train
bench pressing,wSgZEwAa6CA,8,18,train
bench pressing,nx5AqM88fxo,6,16,train
bench pressing,os377khTE8Q,12,22,train
bench pressing,xC4ly0wrzgY,9,19,train
bench pressing,qv32dEIKREg,38,48,train
bench pressing,hNtLEUdPrDw,20,30,train
bench pressing,guFy_K6EiVk,13,23,train
bench pressing,yDjvtHR_VT0,15,25,train
bench pressing,-S5lgM4ZiYM,7,17,train
bench pressing,U6XE-wyR3so,61,71,train
bench pressing,MZZvil8DSn0,18,28,train
bench pressing,KE_mLxskk9I,1,11,train
bench pressing,jadwMJLsXI4,24,34,train
bench pressing,FJCa7p6nc-Y,11,21,train
bench pressing,8gYeiygqT4o,0,10,train
bench pressing,j-UT6Rmx4nM,7,17,train
bench pressing,iJn13OSvveY,4,14,train
bench pressing,AlydFwDki5o,6,16,train
bench pressing,oNv-ZqOPa4Y,25,35,train
bench pressing,xrPrnzvWUkY,15,25,train
bench pressing,J8VWxQj82y0,4,14,train
bench pressing,NUurMlLJa8U,15,25,train
bench pressing,3gMyyKLh1Hs,209,219,train
bench pressing,LDkU1wnbIX0,33,43,train
bench pressing,JuLEPlOIAc4,4,14,train
bench pressing,SoorwYQKW4I,38,48,train
bench pressing,WEzVnR4GnuA,4,14,train
bench pressing,H5Serpimcb0,19,29,train
bench pressing,0cXMwdPY4iw,120,130,train
bench pressing,Tets7VvDxrM,50,60,train
bench pressing,3q0f6BJx_V8,2,12,train
bench pressing,tSyI0Jvggn0,0,10,train
bench pressing,jxz6cpktV6A,25,35,train
bench pressing,QpBbHsUVcHc,3,13,train
bench pressing,4-zjrjW26xk,1,11,train
bench pressing,hC6g4sKqVuY,10,20,train
bench pressing,wt8YZ4WodVY,0,10,train
bench pressing,9zN8ai6_RmI,73,83,train
bench pressing,ETJA8LoXHNY,1,11,train
bench pressing,SvewEBSStUo,1,11,train
bench pressing,fjImGRI0XnM,19,29,train
bench pressing,d_oZ4Fc4VZo,26,36,train
bench pressing,nnXZr8dJh54,15,25,train
bench pressing,WvqCDm9iEyA,12,22,train
bench pressing,Scbn9PGUVDo,410,420,train
bench pressing,ia_GuvsS3uc,4,14,train
bench pressing,C4-ZQjH2tNM,37,47,train
bench pressing,p5lgyupDS2w,4,14,train
bench pressing,xpgbLdT8wuQ,27,37,train
bench pressing,r05s0s7ROVE,3,13,train
bench pressing,By-mpxyVckM,28,38,train
bench pressing,UjNp9euVdAA,12,22,train
bench pressing,NcjNaEwL9hY,43,53,train
bench pressing,wVDC2ftGKh8,1,11,train
bench pressing,cKT7wCdERFw,0,10,train
bench pressing,FC25_Eh6J7s,37,47,train
bench pressing,Nwa9OV0P7Y8,7,17,train
bench pressing,WD_yk_Q1j4Q,8,18,train
bench pressing,GeDKYUFM-0A,0,10,train
bench pressing,7Nczwl4lgyI,0,10,train
bench pressing,olDXUmPxyyA,4,14,train
bench pressing,PTqQVU39AAU,8,18,train
bench pressing,X64Xuh_C0_w,12,22,train
bench pressing,3eAfdZZ8-Ns,13,23,train
bench pressing,BoTOg4i1iSs,16,26,train
bench pressing,c0gev5eUNzU,55,65,train
bench pressing,u_wHpKxwJUg,52,62,train
bench pressing,I-IRg8tX-kc,10,20,train
bench pressing,TBMZywwPn1Q,4,14,train
bench pressing,Ab_M3ISeFnM,1,11,train
bench pressing,T9HePJpEFMM,5,15,train
bench pressing,UP4f6nd376k,3,13,train
bench pressing,q82M1_lpJ7U,16,26,train
bench pressing,3eyEblbrO6Q,41,51,train
bench pressing,EhyWVXFtsWY,5,15,train
bench pressing,BgTcOrU5r1Q,80,90,train
bench pressing,nbICgZgj7DY,0,10,train
bench pressing,vWFTQJyzJA8,33,43,train
bench pressing,oZwfgIkwj-s,125,135,train
bench pressing,5Ryr4ctXG0I,33,43,train
bench pressing,jZ3pF75v8NE,26,36,train
bench pressing,Wabfe4q5c60,2,12,train
bench pressing,HojuGCOlt1Q,32,42,train
bench pressing,y7Map2rmEZ8,9,19,train
bench pressing,gqJ0aI7cp8s,3,13,train
bench pressing,BFPKPjBgXIU,22,32,train
bench pressing,fKoTsU9WvE8,21,31,train
bench pressing,MsVgXhhr_Rk,3,13,train
bench pressing,tW0YTTw0TbU,0,10,train
bench pressing,dCkHnLOp-z4,63,73,train
bench pressing,D7THpKswXU4,3,13,train
bench pressing,82ALdgEAMA4,4,14,train
bench pressing,w6o3InzD-Gk,8,18,train
bench pressing,Un5qAeH0Iww,9,19,train
bench pressing,jjUFrGlxLOw,11,21,train
bench pressing,za7947CCfVo,77,87,train
bench pressing,Pjyr19aiHlA,2,12,train
bench pressing,58jm3PYoxPQ,0,10,train
bench pressing,J_kc-4omcNQ,8,18,train
bench pressing,95LGhCXYy1o,15,25,train
bench pressing,MLLbKM7T41Y,20,30,train
bench pressing,NG6_08CKNEk,105,115,train
bench pressing,5hQ67QvDijk,2,12,train
bench pressing,d8w-VtuwFBA,6,16,train
bench pressing,Z7dHBuBG4pc,123,133,train
bench pressing,Jw3XotyVPAU,7,17,train
bench pressing,6cid90Lgapo,24,34,train
bench pressing,_aC9miA0hHg,36,46,train
bench pressing,1rRgF-9pvP8,5,15,train
bench pressing,aDGa4XX21v8,13,23,train
bench pressing,D2iFg_uWVrI,11,21,train
bench pressing,SyvaHxYI63o,41,51,train
bench pressing,eFDBMOJEtUI,2,12,train
bench pressing,6ZAII2zYTB4,0,10,train
bench pressing,tluONbqnJ98,6,16,train
bench pressing,rIf0qubpxiI,12,22,train
bench pressing,hmJBLLlsD-8,19,29,train
bench pressing,PqO3t4HqZoA,4,14,train
bench pressing,FHpUC7xZENY,30,40,train
bench pressing,xA_SSyLypoA,2,12,train
bench pressing,FumYFZfl5EM,52,62,train
bench pressing,BRAy3FDp5Mg,36,46,train
bench pressing,88Mgqotzgso,25,35,train
bench pressing,WBNhnWNDSME,56,66,train
bench pressing,qykgsoLzHM4,7,17,train
bench pressing,Lg0Jx5iMZE0,4,14,train
bench pressing,my4OO9xmQ4Q,11,21,train
bench pressing,VL2wbpQqLm4,24,34,train
bench pressing,8f2IaQMP0NE,43,53,train
bench pressing,j5hOMwZSipQ,3,13,train
bench pressing,C17DqArwNFQ,63,73,train
bench pressing,nQezF8KBfac,5,15,train
bench pressing,Ceqq0-rg27U,5,15,train
bench pressing,Z-0RxtOxEJ4,48,58,train
bench pressing,jwXGqEbMHdY,120,130,train
bench pressing,W_tsrl2shjE,12,22,train
bench pressing,Mc-lS4Od_Yg,2,12,train
bench pressing,vA0aDMv-B_k,18,28,train
bench pressing,x2OGi4eyKcA,30,40,train
bench pressing,5fcyyIq6QA0,7,17,train
bench pressing,whn0sLjZPeA,1,11,train
bench pressing,jGCX-kosLv0,2,12,train
bench pressing,yJcKeNFX0K0,28,38,train
bench pressing,FyYRvnHdOgU,3,13,train
bench pressing,KWMQz1jGUbU,22,32,train
bench pressing,bPOyQTIBKTA,20,30,train
bench pressing,YycDjmMzhLw,2,12,train
bench pressing,L8jWIwyDEJo,4,14,train
bench pressing,ueAVqb-u5Ng,115,125,train
bench pressing,GbjA8jxM8SQ,77,87,train
bench pressing,hHFF7SlYg_4,7,17,train
bench pressing,dDM7bmMp3e8,55,65,train
bench pressing,5IuGP3Ps8pA,49,59,train
bench pressing,T_rxEG1FyQg,55,65,train
bench pressing,CVeTITJCutQ,1,11,train
bench pressing,KQK58ZdlpUI,3,13,train
bench pressing,xp7vzJZrnO4,34,44,train
bench pressing,QAlJtZsPngQ,38,48,train
bench pressing,2wtEBmRK6v8,50,60,train
bench pressing,QgtKJj6ECzo,34,44,train
bench pressing,3wm78WGKOt4,13,23,train
bench pressing,w5fumfUvQwc,211,221,train
bench pressing,BClR5gWMXKo,30,40,train
bench pressing,YEa1SA3mnCg,17,27,train
bench pressing,KAhTdLATPqY,2,12,train
bench pressing,GkJCuOK_UhE,8,18,train
bench pressing,lRn9DC8yo7M,45,55,train
bench pressing,jZFiCJbzf3I,17,27,train
bench pressing,Kn7mFmfXuZI,21,31,train
bench pressing,phRQp0YfwpM,7,17,train
bench pressing,uG4ip8Eqszs,22,32,train
bench pressing,OEurO0chBNA,44,54,train
bench pressing,8B8lNhwtVR0,13,23,train
bench pressing,NO9V7p0gzyM,215,225,train
bench pressing,arSZ-uTWStU,298,308,train
bench pressing,7ZgKfs0iNS8,0,10,train
bench pressing,PHMfTJn_NPk,3,13,train
bench pressing,P4hjvtNCCZw,3,13,train
bench pressing,az-wV8TD0tM,1,11,train
bench pressing,KWYKegJoT6k,36,46,train
bench pressing,dldW4VlkBGQ,0,10,train
bench pressing,V_nk_Wtgr1s,234,244,train
bench pressing,yaRMolTgIHc,7,17,train
bench pressing,rLwWaOcxbBM,4,14,train
bench pressing,zcCwlbjaqhg,29,39,train
bench pressing,XGx_MzLgopk,16,26,train
bench pressing,CXgv232iW3c,2,12,train
bench pressing,WoZoL0c3A2Y,40,50,train
bench pressing,Z3zwDjmDFO4,23,33,train
bench pressing,pt9QD2WYV-M,53,63,train
bench pressing,lO-QBT_7QqI,7,17,train
bench pressing,-m91N3ITxfc,38,48,train
bench pressing,OYT1TbTaczA,25,35,train
bench pressing,TxhiarReYfg,16,26,train
bench pressing,hiVe2eAjRUw,17,27,train
bench pressing,8HZ0eT3iSmU,5,15,train
bench pressing,BaaQFnTYLC8,0,10,train
bench pressing,BrzmbQhmW1M,16,26,train
bench pressing,if6b1HoQvpk,2,12,train
bench pressing,6WAMLFkT0X0,1,11,train
bench pressing,-ufA6B-uTfE,2,12,train
bench pressing,ePuZ4xc3EcM,0,10,train
bench pressing,i4ZLRhQnPxw,3,13,train
bench pressing,kX62qdOefyk,25,35,train
bench pressing,x5TQFXiaRxg,28,38,train
bench pressing,Vr2abqjstJ4,21,31,train
bench pressing,sxc6-FSeQGo,1,11,train
bench pressing,zQzmFFqs_30,39,49,train
bench pressing,LWJE8soPb1w,329,339,train
bench pressing,sd4DxaP5yuQ,14,24,train
bench pressing,SjNx3If1XfU,3,13,train
bench pressing,4s8kz2KesMM,1,11,train
bench pressing,clHDgvCjtBs,1,11,train
bench pressing,RbEJrUhHsUs,5,15,train
bench pressing,Gu8BokKUICw,31,41,train
bench pressing,Q8hAgtaL-5s,2,12,train
bench pressing,Xgfz6UiuKS8,25,35,train
bench pressing,zpxgcFBixtY,12,22,train
bench pressing,boPHDLEqcsI,0,10,train
bench pressing,3_HWFQnvxMM,15,25,train
bench pressing,e1pjtIPV9KI,0,10,train
bench pressing,hnC9FKaI5m4,25,35,train
bench pressing,hOKl7sjMeNU,11,21,train
bench pressing,LzE9EpY38NE,49,59,train
bench pressing,sKPwu83VBLQ,0,10,train
bench pressing,B_ksWK1Qsg8,8,18,train
bench pressing,0kA8F7EKsOQ,13,23,train
bench pressing,JuW_CnlSHps,32,42,train
bench pressing,wHMzdJe_Pls,11,21,train
bench pressing,8NCMh_0lShY,3,13,train
bench pressing,GrO9FzjDB6I,1,11,train
bench pressing,sgPDFliqQUo,4,14,train
bench pressing,OLNY6QxRB4U,12,22,train
bench pressing,jLGMobZ2Nzc,28,38,train
bench pressing,TTcE355WRxQ,121,131,train
bench pressing,TtcEU6_Yd0A,5,15,train
bench pressing,S99Zpm3-YWQ,2,12,train
bench pressing,PCtH8dDPllA,8,18,train
bench pressing,qLDl3XI5qzk,9,19,train
bench pressing,6bXS1AQ-G4Y,4,14,train
bench pressing,YjEV5BTvkoA,4,14,train
bench pressing,aeR9wdp1YwE,23,33,train
bench pressing,EUIW3OuUdU4,145,155,train
bench pressing,onBBtke0aAw,30,40,train
bench pressing,KJVSKxoYuQg,0,10,train
bench pressing,Vr93FU6KUOc,2,12,train
bench pressing,LCX00PQpPkw,19,29,train
bench pressing,iaD1FNLE4BE,5,15,train
bench pressing,fTYmCnfScUM,45,55,train
bench pressing,Io7dcD3d0Tg,1,11,train
bench pressing,uI0DL52pfSU,8,18,train
bench pressing,TO1f6Oy8ZEg,43,53,train
bench pressing,5I79UfNP1Es,0,10,train
bench pressing,d5wrt885f7Y,2,12,train
bench pressing,vi2-lxMTI6Y,25,35,train
bench pressing,j3ku6Kq57ik,6,16,train
bench pressing,vdNOTBCRBw0,1,11,train
bench pressing,e78koMum1ps,18,28,train
bench pressing,IOHmhMB9LNE,417,427,train
bench pressing,xQjTejRFGng,374,384,train
bench pressing,KG2rkniclSo,55,65,train
bench pressing,5NaKQDqOZvg,45,55,train
bench pressing,KIPuxgiIMqA,0,10,train
bench pressing,MXvsn9Ty9Go,22,32,train
bench pressing,NFmcthS4Ja0,16,26,train
bench pressing,gtPbMH3a6lM,7,17,train
bench pressing,CY0GKejQRVI,13,23,train
bench pressing,MUWRU2evqB0,22,32,train
bench pressing,QfU0gTCDcFg,9,19,train
bench pressing,FY_oHOM47_I,3,13,train
bench pressing,xxRsvS5sT4M,36,46,train
bench pressing,DazRv3EhV40,7,17,train
bench pressing,wj6D8sO-9MA,15,25,train
bench pressing,ExiJ7qKakH4,0,10,train
bench pressing,cHWiLbeSD1g,22,32,train
bench pressing,9ZuW-T2v144,394,404,train
bench pressing,kE0USKWy4ug,5,15,train
bench pressing,52od4M9kKXs,19,29,train
bench pressing,j5tO9HykXb4,24,34,train
bench pressing,EjPluNmMufc,2,12,train
bench pressing,hFGOYrm_G9k,0,10,train
